"店铺","账号","视频标题","视频链接","发布时间","时长秒","播放量","点赞数","评论数","分享数","收藏数","互动率"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #tiktokbacktoschool ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7677248192957762829","2026-08-23T23:24:26+08:00","15","16800","11","0","1","3","0.0007142857142857143"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #fyp ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7680961638475861262","2026-09-03T03:03:00+08:00","15","12900","12","0","1","3","0.0010077519379844962"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #tiktokbacktoschool ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7679139925484113166","2026-08-29T01:45:02+08:00","15","11200","5","0","1","2","0.0005357142857142857"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #fyp ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7680961259130408206","2026-09-03T01:02:00+08:00","15","10800","9","0","0","0","0.0008333333333333334"
"ETCYY-US","wardrobepicked","ETCYY Sexy Deep V Neck HalterCrop Top for Women#fyp #tiktokshopmemori...","https://www.tiktok.com/@MS4wLjABAAAA-KhelFlYiQz8vPYpnvp-W4flOK_khCxv3qHvtIHVSb7eH_s2sSz3h2HyLbrplwEw/video/7681257918972415262","2026-09-03T18:44:03+08:00","14","10100","44","0","2","10","0.004554455445544554"
"ETCYY-US","wardrobepicked","ETCYY NEW Women's ElegantFloral Lace Patchwork Long Sleeve Blouse#fyp...","https://www.tiktok.com/@MS4wLjABAAAA-KhelFlYiQz8vPYpnvp-W4flOK_khCxv3qHvtIHVSb7eH_s2sSz3h2HyLbrplwEw/video/7680876630264352030","2026-09-02T18:04:25+08:00","11","10100","21","0","3","7","0.002376237623762376"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #tiktokbacktoschool ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7676913474101890317","2026-08-23T03:15:00+08:00","15","7488","7","0","0","0","0.0009348290598290599"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #tiktokbacktoschool ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7677248618771877133","2026-08-24T00:55:00+08:00","15","6796","9","0","2","5","0.001618599175985874"
"ETCYY","user5835336672755","#bikini #swimsuit #tankini #tiktokbacktoschool ","https://www.tiktok.com/@MS4wLjABAAAAXuF2pGCa0ER5WqwZ1KB7GyADFtjtVr9dtL17wpZoSSxGlvXHRWZUSuik1Cxyd9WD/video/7678539787913022734","2026-08-27T13:25:00+08:00","15","3937","1","0","1","1","0.000508001016002032"
"ETCYY-US","etcyy.outfits","#ootd#UniqueDesignShirt #WomensFashionBlouse#NavyBlueLayeredBlouse","https://www.tiktok.com/@MS4wLjABAAAAoQFJPQPYC22qIvVGvvvRC0g_My8pz54doaZlHyyB-tRzCgol_WB2xUmnrUdaPRmI/video/7678645061839572238","2026-08-27T19:15:00+08:00","15","3816","5","1","0","0","0.0015723270440251573"
